Frequency_Hz, Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase_Rad
100,40.182191,102.119704,0.478756,0.004688,-0.005962
116.6,40.185052,102.153342,0.479358,0.004693,-0.006507
135.9,40.172118,102.001347,0.480225,0.004708,-0.008196
158.5,40.169682,101.972743,0.481277,0.00472,-0.010244
184.8,40.12466,101.445545,0.482548,0.004757,-0.012605
215.4,40.153452,101.782379,0.484023,0.004755,-0.011655
251.2,40.154176,101.790865,0.485672,0.004771,-0.015444
292.9,40.167472,101.946796,0.487377,0.004781,-0.016922
341.5,40.17591,102.04589,0.489117,0.004793,-0.018612
398.1,40.14797,101.718157,0.49088,0.004826,-0.022595
464.2,40.179137,102.083806,0.492498,0.004824,-0.02612
541.2,40.132843,101.541165,0.493761,0.004863,-0.031833
631,40.128077,101.48547,0.494566,0.004873,-0.037792
735.6,40.174893,102.033936,0.495252,0.004854,-0.041558
857.7,40.195992,102.282095,0.495533,0.004845,-0.050419
1000,40.128729,101.493085,0.49546,0.004882,-0.058898
1166,40.101118,101.170968,0.495071,0.004893,-0.069058
1359,40.134084,101.555674,0.494431,0.004869,-0.081301
1585,40.101923,101.180338,0.493513,0.004878,-0.094154
1848,40.105827,101.225826,0.492151,0.004862,-0.109008
2154,40.090235,101.044287,0.490572,0.004855,-0.128113
2512,40.019756,100.227711,0.488595,0.004875,-0.14673
2929,40.025913,100.298782,0.486135,0.004847,-0.167304
3415,40.068651,100.793509,0.483173,0.004794,-0.191577
3981,39.973976,99.700836,0.479571,0.00481,-0.234771
4642,39.880943,98.638661,0.474761,0.004813,-0.276402
5412,39.778516,97.482312,0.468594,0.004807,-0.3134
6310,39.619098,95.709462,0.460683,0.004813,-0.361221
7356,39.445859,93.819468,0.451037,0.004808,-0.416064
8577,39.197992,91.180005,0.438582,0.00481,-0.47526
10000,38.908571,88.191868,0.423296,0.0048,-0.539679
11660,38.552412,84.648758,0.404425,0.004778,-0.611505
13590,38.075808,80.129125,0.383016,0.00478,-0.686784
15850,37.490332,74.906,0.357989,0.004779,-0.764463
18480,36.833008,69.446508,0.330498,0.004759,-0.842
21540,36.057672,63.516065,0.301021,0.004739,-0.921521
25120,35.133641,57.106042,0.271048,0.004746,-0.99268
29290,34.204323,51.311669,0.242653,0.004729,-1.062712
34150,33.190793,45.660392,0.217774,0.004769,-1.129668
39810,32.078779,40.173435,0.192105,0.004782,-1.189342
46420,30.907442,35.105251,0.167392,0.004768,-1.242237
54120,29.705648,30.569083,0.145917,0.004773,-1.294528
63100,28.592129,26.89097,0.127987,0.004759,-1.33945
73560,27.323841,23.237641,0.110861,0.004771,-1.381669
85770,25.769172,19.429365,0.094506,0.004864,-1.418334
100000,24.749935,17.27813,0.082159,0.004755,-1.453604
