Vin(V),Vout(V),Mag(V/V),,,Frequency_Hz,Mag_dB,Phase_degrees
2.5,0.29,0.116,,,100,-18.71084022,-88
2.49,0.43,0.172690763,,,150,-15.25461783,-80
2.48,0.69,0.278225806,,,250,-11.1120518,-73
2.48,1.04,0.419354839,,,400,-7.548366831,-63
2.46,1.46,0.593495935,,,650,-4.531645026,-54
2.44,1.82,0.745901639,,,1000,-2.546368767,-42
2.43,2.06,0.847736626,,,1500,-1.434781065,-35
2.42,2.24,0.925619835,,,2500,-0.671346953,-24
2.41,2.33,0.966804979,,,4000,-0.293222431,-14
2.41,2.37,0.98340249,,,6500,-0.145373931,-8
2.41,2.39,0.991701245,,,10000,-0.072382833,-2
2.41,2.409,0.999585062,,,25000,-0.003604852,0
2.41,2.41,1,,,50000,0,0
2.41,2.41,1,,,75000,0,0
2.41,2.41,1,,,100000,0,0
