Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-0.268569,0.969553,1.14028,1.176088,-0.010478
116.6,-0.268234,0.96959,1.142168,1.17799,-0.012061
135.9,-0.267638,0.969657,1.144096,1.179897,-0.013807
158.5,-0.264739,0.969981,1.147501,1.183015,-0.015857
184.8,-0.259804,0.970532,1.1513,1.186256,-0.018222
215.4,-0.253092,0.971282,1.155899,1.190075,-0.021059
251.2,-0.243504,0.972355,1.161155,1.194168,-0.024452
292.9,-0.231322,0.97372,1.167228,1.198731,-0.028489
341.5,-0.213644,0.975703,1.174619,1.203869,-0.033383
398.1,-0.191561,0.978187,1.182116,1.208476,-0.039184
464.2,-0.163952,0.981301,1.190596,1.213283,-0.046056
541.2,-0.123265,0.985909,1.200842,1.218005,-0.054267
631,-0.070462,0.991921,1.212614,1.222491,-0.063966
735.6,0.000627,1.000072,1.226878,1.22679,-0.075557
857.7,0.101074,1.011705,1.245619,1.231208,-0.089343
1000,0.242054,1.028259,1.269991,1.235088,-0.106206
1166,0.436521,1.051541,1.302268,1.238439,-0.127158
1359,0.710187,1.085199,1.346271,1.240575,-0.154029
1585,1.096094,1.134501,1.407085,1.240269,-0.189744
1848,1.748231,1.222958,1.510346,1.234994,-0.239595
2154,2.558193,1.342486,1.638542,1.220529,-0.314031
2512,3.686548,1.528718,1.814868,1.187183,-0.436828
2929,5.341075,1.849497,2.069074,1.118723,-0.662807
3415,7.07538,2.258234,2.298935,1.018023,-1.114649
3981,6.268598,2.057927,2.113391,1.026951,-1.794285
4642,2.563496,1.343305,1.557969,1.159803,-2.2892
5412,-1.344535,0.85659,1.074031,1.253844,-2.543679
6310,-4.807044,0.574973,0.749038,1.302735,-2.689197
7356,-8.029956,0.396737,0.527612,1.32988,-2.785006
8577,-11.027571,0.280945,0.377846,1.344909,-2.853932
10000,-13.939785,0.200914,0.272097,1.354295,-2.905958
11660,-16.727394,0.145757,0.197988,1.358339,-2.945978
13590,-19.539175,0.105449,0.143626,1.362049,-2.976644
15850,-22.218864,0.077456,0.105592,1.363248,-3.001357
18480,-24.996129,0.056259,0.076615,1.361829,-3.020179
21540,-27.800875,0.040734,0.05526,1.356597,-3.036377
25120,-30.52782,0.029758,0.04031,1.354571,-3.049622
29290,-33.243561,0.021768,0.02949,1.354719,-3.059477
34150,-35.966638,0.01591,0.02179,1.369591,-3.067463
39810,-38.700311,0.011614,0.01591,1.369875,-3.07491
46420,-41.441184,0.008471,0.011608,1.37027,-3.079182
54120,-44.196468,0.006168,0.008454,1.370581,-3.085262
63100,-47.072366,0.00443,0.006074,1.371123,-3.084138
73560,-49.756362,0.003252,0.004459,1.370986,-3.089289
85770,-52.59628,0.002345,0.003216,1.37129,-3.096146
100000,-55.451796,0.001688,0.002314,1.370831,-3.08271
