Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-31.234303,0.027434,0.032356,1.179415,0.20506
116.6,-31.161895,0.027663,0.032688,1.181638,0.237738
135.9,-31.066866,0.027968,0.03311,1.183872,0.275144
158.5,-30.938728,0.028383,0.033683,1.186722,0.317602
184.8,-30.765387,0.028955,0.034464,1.190245,0.365143
215.4,-30.545248,0.029699,0.035463,1.1941,0.418351
251.2,-30.258198,0.030697,0.036791,1.198523,0.476923
292.9,-29.896907,0.032,0.038503,1.203217,0.539599
341.5,-29.449078,0.033693,0.04071,1.208234,0.60578
398.1,-28.903324,0.035878,0.043545,1.21368,0.674021
464.2,-28.253608,0.038665,0.047136,1.219076,0.743537
541.2,-27.496607,0.042186,0.051663,1.224643,0.810872
631,-26.636862,0.046575,0.057294,1.230128,0.875311
735.6,-25.67089,0.052054,0.064346,1.236141,0.934283
857.7,-24.594579,0.058921,0.073189,1.242158,0.986845
1000,-23.416522,0.06748,0.084277,1.248927,1.031791
1166,-22.135172,0.078206,0.098256,1.256373,1.066959
1359,-20.761445,0.091607,0.115828,1.264407,1.091852
1585,-19.268374,0.108788,0.138482,1.272951,1.104359
1848,-17.504199,0.133288,0.170833,1.281686,1.10168
2154,-15.518509,0.167523,0.216228,1.290739,1.076172
2512,-13.27467,0.216903,0.28201,1.300165,1.012837
2929,-10.524385,0.297701,0.390347,1.311202,0.870338
3415,-7.121757,0.440466,0.584197,1.326316,0.529785
3981,-5.092945,0.556356,0.745409,1.339807,-0.130004
4642,-6.705712,0.462077,0.616815,1.334874,-0.708401
5412,-9.419327,0.338091,0.449795,1.330396,-1.028474
6310,-12.02558,0.25045,0.332787,1.328758,-1.203189
7356,-14.323325,0.192236,0.255633,1.329788,-1.305391
8577,-16.33838,0.152434,0.202792,1.33036,-1.370082
10000,-18.220988,0.12273,0.163408,1.331447,-1.412904
11660,-19.824573,0.10204,0.135777,1.330624,-1.443253
13590,-21.409675,0.085019,0.113229,1.331804,-1.465331
15850,-23.045529,0.070424,0.093725,1.33086,-1.48206
18480,-24.43943,0.059983,0.079698,1.328674,-1.494989
21540,-25.954,0.050385,0.066643,1.322682,-1.505224
25120,-27.354713,0.042881,0.056557,1.318933,-1.513209
29290,-28.645342,0.03696,0.048761,1.31929,-1.519702
34150,-30.008013,0.031594,0.042119,1.333145,-1.525073
39810,-31.363491,0.027029,0.036042,1.333467,-1.529278
46420,-32.837841,0.022809,0.03042,1.333664,-1.532001
54120,-34.204271,0.019489,0.025994,1.333788,-1.534729
63100,-35.575225,0.016643,0.022204,1.334125,-1.536328
73560,-36.952202,0.014203,0.018945,1.333832,-1.536407
85770,-38.344742,0.012099,0.016141,1.334045,-1.536374
100000,-39.73257,0.010313,0.013756,1.333874,-1.536185
