Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-2.15004,0.780725,0.750058,0.96072,-0.053667
116.6,-2.154703,0.780306,0.750914,0.962333,-0.062384
135.9,-2.16199,0.779651,0.751972,0.964497,-0.072384
158.5,-2.169282,0.778997,0.753338,0.967061,-0.084155
184.8,-2.178497,0.778171,0.75485,0.970031,-0.097779
215.4,-2.190728,0.777076,0.756806,0.973915,-0.113678
251.2,-2.2056,0.775747,0.758664,0.977979,-0.132226
292.9,-2.224417,0.774068,0.760597,0.982598,-0.15387
341.5,-2.250714,0.771728,0.762496,0.988037,-0.17908
398.1,-2.286346,0.768569,0.763679,0.993638,-0.208306
464.2,-2.333482,0.764409,0.764179,0.9997,-0.24234
541.2,-2.399364,0.758633,0.763668,1.006637,-0.281279
631,-2.485438,0.751152,0.761905,1.014314,-0.326198
735.6,-2.597234,0.741546,0.75867,1.023092,-0.377473
857.7,-2.743655,0.729151,0.753484,1.033373,-0.435872
1000,-2.93306,0.713423,0.74593,1.045566,-0.501937
1166,-3.173659,0.693932,0.735617,1.06007,-0.576177
1359,-3.478199,0.670023,0.721799,1.077275,-0.658436
1585,-3.860409,0.641179,0.703453,1.097123,-0.749529
1848,-4.334869,0.607095,0.679896,1.119917,-0.84864
2154,-4.908863,0.568273,0.650577,1.144832,-0.95501
2512,-5.597791,0.524941,0.615046,1.171647,-1.068818
2929,-6.406568,0.478268,0.573628,1.199386,-1.187739
3415,-7.396018,0.426775,0.523585,1.22684,-1.310659
3981,-8.477339,0.376819,0.472361,1.253549,-1.4359
4642,-9.629452,0.33001,0.421711,1.277871,-1.562297
5412,-10.98183,0.282428,0.366934,1.29921,-1.687491
6310,-12.489639,0.23742,0.312433,1.315947,-1.811294
7356,-14.179039,0.195456,0.26015,1.330991,-1.931553
8577,-15.851418,0.161224,0.216323,1.341758,-2.048297
10000,-17.806534,0.128728,0.173812,1.350228,-2.16042
11660,-19.70984,0.103397,0.14007,1.354683,-2.266636
13590,-21.809629,0.081193,0.110359,1.35922,-2.365849
15850,-24.073631,0.062563,0.085156,1.361129,-2.457522
18480,-26.469933,0.047479,0.06459,1.360383,-2.540989
21540,-28.762054,0.036467,0.049436,1.355654,-2.616053
25120,-31.324512,0.02715,0.036749,1.353545,-2.682495
29290,-33.858269,0.020281,0.027455,1.353755,-2.740681
34150,-36.443947,0.015059,0.020605,1.368271,-2.790287
39810,-39.063627,0.011138,0.015254,1.369505,-2.834853
46420,-41.717258,0.008206,0.011238,1.369487,-2.871138
54120,-44.429462,0.006005,0.008228,1.370095,-2.907058
63100,-47.113859,0.004409,0.006041,1.370167,-2.939919
73560,-49.877311,0.003207,0.004395,1.370193,-2.954646
85770,-52.688869,0.00232,0.00318,1.370488,-2.969163
100000,-55.562819,0.001667,0.002284,1.370144,-2.989411
