Frequency_Hz,Magnitude_dB, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak),Phase_Rad
100,-13.061903,0.222282,0.213598,0.960931,0.173705
116.6,-12.981448,0.224351,0.215998,0.962769,0.200815
135.9,-12.877575,0.22705,0.219109,0.965026,0.231424
158.5,-12.738512,0.230714,0.223285,0.967799,0.265924
184.8,-12.558947,0.235533,0.228771,0.971288,0.304037
215.4,-12.328904,0.241855,0.235875,0.975276,0.345246
251.2,-12.036506,0.250135,0.245053,0.979682,0.389358
292.9,-11.67095,0.260887,0.256949,0.984904,0.434832
341.5,-11.227704,0.274546,0.272038,0.990865,0.480329
398.1,-10.70376,0.291616,0.290886,0.997495,0.523953
464.2,-10.094393,0.31281,0.314352,1.004931,0.563674
541.2,-9.411308,0.338403,0.342962,1.01347,0.596938
631,-8.66353,0.368828,0.377453,1.023387,0.621902
735.6,-7.870051,0.404108,0.418373,1.0353,0.636394
857.7,-7.049834,0.444128,0.466097,1.049465,0.63905
1000,-6.207219,0.489372,0.521917,1.066503,0.628636
1166,-5.292239,0.543736,0.591181,1.087258,0.604425
1359,-4.471706,0.597606,0.664586,1.112081,0.566257
1585,-3.658863,0.656231,0.749003,1.14137,0.51419
1848,-2.949273,0.712092,0.836462,1.174654,0.44828
2154,-2.231136,0.77347,0.936471,1.21074,0.369881
2512,-1.727105,0.819681,1.022705,1.247687,0.279086
2929,-1.311149,0.859889,1.10166,1.281165,0.178049
3415,-1.035792,0.887586,1.159957,1.306867,0.068651
3981,-0.902721,0.901289,1.189656,1.31995,-0.046624
4642,-0.918181,0.899686,1.185402,1.317573,-0.165266
5412,-1.083338,0.882741,1.148324,1.300862,-0.284269
6310,-1.394433,0.851684,1.08415,1.272949,-0.401029
7356,-1.845092,0.808622,1.003397,1.240873,-0.513175
8577,-2.422498,0.756615,0.913015,1.20671,-0.619329
10000,-3.11136,0.698927,0.821371,1.175188,-0.718433
11660,-3.898039,0.638408,0.731454,1.145748,-0.809927
13590,-4.762396,0.577937,0.648654,1.122361,-0.893388
15850,-5.690445,0.519371,0.571954,1.101243,-0.969499
18480,-6.677818,0.463563,0.501917,1.082737,-1.0385
21540,-7.622813,0.415776,0.442619,1.064561,-1.100627
25120,-8.705508,0.367049,0.385899,1.051355,-1.156777
29290,-9.906277,0.319658,0.333477,1.04323,-1.206516
34150,-11.075992,0.279383,0.292739,1.047805,-1.25098
39810,-12.258901,0.243812,0.254312,1.043065,-1.290488
46420,-13.380161,0.214285,0.222701,1.039276,-1.325644
54120,-14.615773,0.185871,0.192608,1.036247,-1.356303
63100,-15.96631,0.159105,0.164549,1.034214,-1.382393
73560,-17.233446,0.137508,0.141928,1.032141,-1.405643
85770,-18.546552,0.118215,0.121898,1.031158,-1.42524
100000,-19.807829,0.102237,0.105305,1.030009,-1.443292
